"Time";"createOrder";"basket";"getCatalogue";"getItem";"getCart";"login";"getOrders";"catalogue";"home";"tags";"getCustomer";"viewOrdersPage";"cataloguePage";"getRelated";"addToCart";"catalogueSize";"getAddress";"getCard";"showDetails"
0;"0.010003";"0.002139";"0.005311";"0.006995";"0.020460";"0.028465";"0.009696";"0.002246";"0.002232";"0.006763";"0.006147";"0.002121";"0.004775";"0.005828";"0.002596";"0.007230";"0.006463";"0.006021";"0.002196"
5;"0.010884";"0.002122";"0.004475";"0.006861";"0.014249";"0.023183";"0.011710";"0.002914";"0.002230";"0.005661";"0.005561";"0.002428";"0.004601";"0.004548";"0.003607";"0.006965";"0.005754";"0.008633";"0.001968"
10;"0.011965";"0.002938";"0.279875";"0.213074";"0.197586";"0.208562";"0.009336";"0.001938";"0.002067";"0.128491";"0.019823";"0.001629";"0.285091";"0.258961";"0.004821";"0.246636";"0.007754";"0.005266";"0.002190"
15;"0.006726";"0.002095";"0.325451";"0.358909";"0.422392";"0.682278";"0.007081";"0.001415";"0.001835";"0.436935";"0.115626";"0.001428";"0.316173";"0.423408";"0.001270";"0.301955";"0.053231";"0.085692";"0.001828"
20;"0.073453";"0.002348";"0.478362";"0.497391";"0.283782";"0.513945";"0.008510";"0.002129";"0.001596";"0.395766";"0.126538";"0.001797";"0.471051";"0.402206";"0.001461";"0.378513";"0.066955";"0.075640";"0.001591"
25;"0.006608";"0.002158";"0.389467";"0.467565";"0.284761";"0.513970";"0.042029";"0.001862";"0.001785";"0.361750";"0.140599";"0.002268";"0.375490";"0.531725";"0.001421";"0.359690";"0.270083";"0.083776";"0.001982"
30;"0.011282";"0.002184";"0.369581";"0.386146";"0.321372";"0.394428";"0.008563";"0.001812";"0.001908";"0.438079";"0.216440";"0.001720";"0.475821";"0.503378";"0.001754";"0.359706";"0.137495";"0.221407";"0.002343"
35;"0.006582";"0.002503";"0.453351";"0.443956";"0.391353";"0.665806";"0.008771";"0.002012";"0.002171";"0.441929";"0.172115";"0.001332";"0.639548";"0.424440";"0.005970";"0.519634";"0.003945";"0.313556";"0.001702"
40;"0.009966";"0.002064";"0.426307";"0.435444";"0.296294";"0.478528";"0.047207";"0.001583";"0.001933";"0.465250";"0.197147";"0.001479";"0.490530";"0.482461";"0.005751";"0.306630";"0.316427";"0.003715";"0.001786"
45;"0.084174";"0.001584";"0.427007";"0.382401";"0.308844";"0.375695";"0.008779";"0.001886";"0.001771";"0.546189";"0.229424";"0.001986";"0.319763";"0.408604";"0.007397";"0.441485";"0.367274";"0.093908";"0.002136"
