"Time";"createOrder";"basket";"getCatalogue";"getItem";"getCart";"login";"getOrders";"catalogue";"home";"tags";"getCustomer";"viewOrdersPage";"cataloguePage";"getRelated";"addToCart";"catalogueSize";"getAddress";"getCard";"showDetails"
0;"0.000000";"0.000000";"0.000000";"0.000000";"0.008329";"0.017703";"0.000000";"0.000000";"0.007236";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000"
5;"0.000000";"0.000000";"0.006727";"0.006947";"0.049792";"0.000000";"0.022259";"0.000000";"0.002243";"0.000000";"0.004551";"0.001920";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000"
10;"0.000000";"0.000000";"0.005078";"0.000000";"0.032928";"0.000000";"0.000000";"0.001914";"0.002026";"0.005020";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.004913";"0.000000";"0.000000";"0.000000"
15;"0.000000";"0.000000";"0.000000";"0.000000";"0.008633";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.044854";"0.000000";"0.005483";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.001778"
20;"0.000000";"0.000000";"0.000000";"0.005532";"0.009069";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.008643";"0.000000";"0.000000";"0.006040";"0.000000";"0.000000";"0.000000";"0.000000";"0.001922"
25;"0.000000";"0.004497";"0.006340";"0.005716";"0.026445";"0.018160";"0.000000";"0.000000";"0.003782";"0.000000";"0.011814";"0.000000";"0.000000";"0.022607";"0.005607";"0.000000";"0.013383";"0.004961";"0.001430"
30;"0.017778";"0.000000";"0.004532";"0.004891";"0.032567";"0.000000";"0.015733";"0.000000";"0.007504";"0.000000";"0.004599";"0.001889";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000"
35;"0.000000";"0.000000";"0.004342";"0.005252";"0.040679";"0.024715";"0.013632";"0.000000";"0.001744";"0.000000";"0.005228";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000"
40;"0.000000";"0.000000";"0.005074";"0.000000";"0.008077";"0.000000";"0.016434";"0.001672";"0.001985";"0.010475";"0.000000";"0.002299";"0.000000";"0.000000";"0.000000";"0.006086";"0.000000";"0.000000";"0.000000"
45;"0.000000";"0.000000";"0.000000";"0.004978";"0.008301";"0.000000";"0.000000";"0.000000";"0.001737";"0.000000";"0.004562";"0.000000";"0.004376";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.002130"
50;"0.000000";"0.000000";"0.004725";"0.005917";"0.027531";"0.000000";"0.000000";"0.000000";"0.001982";"0.000000";"0.005207";"0.000000";"0.000000";"0.004363";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000"
55;"0.000000";"0.000000";"0.005200";"0.000000";"0.007246";"0.017477";"0.000000";"0.001401";"0.001899";"0.004208";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.003886";"0.000000";"0.000000";"0.000000"
60;"0.000000";"0.000000";"0.005577";"0.000000";"0.033029";"0.000000";"0.000000";"0.000000";"0.001863";"0.000000";"0.004958";"0.000000";"0.004389";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000"
65;"0.000000";"0.000000";"0.000000";"0.004529";"0.063637";"0.000000";"0.000000";"0.001849";"0.000000";"0.005218";"0.005038";"0.000000";"0.004604";"0.000000";"0.000000";"0.004187";"0.000000";"0.000000";"0.001840"
70;"0.000000";"0.000000";"0.004647";"0.004460";"0.008471";"0.089872";"0.000000";"0.000000";"0.001494";"0.000000";"0.004450";"0.000000";"0.000000";"0.004721";"0.000000";"0.000000";"0.000000";"0.000000";"0.002811"
75;"0.000000";"0.000000";"0.004591";"0.000000";"0.008368";"0.000000";"0.000000";"0.001894";"0.001906";"0.000000";"0.005645";"0.000000";"0.000000";"0.006982";"0.003139";"0.004892";"0.000000";"0.000000";"0.000000"
80;"0.000000";"0.001356";"0.000000";"0.022616";"0.009797";"0.000000";"0.000000";"0.000000";"0.000000";"0.003995";"0.005304";"0.000000";"0.004518";"0.004368";"0.000000";"0.000000";"0.000000";"0.000000";"0.001932"
85;"0.000000";"0.000000";"0.004673";"0.004466";"0.010212";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.004491";"0.000000";"0.000000";"0.004549";"0.005525";"0.000000"
90;"0.019059";"0.002210";"0.000000";"0.004508";"0.008067";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.008253";"0.001953";"0.000000";"0.004652";"0.002354";"0.000000";"0.004322";"0.042363";"0.002238"
95;"0.011914";"0.000000";"0.005993";"0.004618";"0.025832";"0.000000";"0.011125";"0.000000";"0.000000";"0.000000";"0.004710";"0.001757";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000"
100;"0.000000";"0.000000";"0.005213";"0.004978";"0.020603";"0.000000";"0.011871";"0.000000";"0.001873";"0.000000";"0.004617";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000"
105;"0.000000";"0.000000";"0.005521";"0.000000";"0.021803";"0.000000";"0.000000";"0.001871";"0.001823";"0.006263";"0.006469";"0.000000";"0.004536";"0.000000";"0.000000";"0.005317";"0.000000";"0.000000";"0.000000"
110;"0.000000";"0.000000";"0.000000";"0.004225";"0.007653";"0.000000";"0.000000";"0.002611";"0.000000";"0.004390";"0.006750";"0.000000";"0.004376";"0.000000";"0.000000";"0.004190";"0.000000";"0.000000";"0.001686"
115;"0.000000";"0.000000";"0.004252";"0.004437";"0.009271";"0.000000";"0.000000";"0.000000";"0.001780";"0.000000";"0.004983";"0.000000";"0.000000";"0.022919";"0.000000";"0.000000";"0.000000";"0.000000";"0.001804"
120;"0.000000";"0.000000";"0.004752";"0.000000";"0.008002";"0.000000";"0.000000";"0.001834";"0.001648";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000";"0.005439";"0.000000";"0.000000";"0.000000"
125;"0.000000";"0.000000";"0.000000";"0.016139";"0.025306";"0.000000";"0.000000";"0.001775";"0.000000";"0.003584";"0.005103";"0.000000";"0.004693";"0.000000";"0.000000";"0.004615";"0.000000";"0.000000";"0.001595"
130;"0.000000";"0.000000";"0.004698";"0.004632";"0.008534";"0.000000";"0.000000";"0.000000";"0.001743";"0.000000";"0.005473";"0.000000";"0.000000";"0.005450";"0.000000";"0.000000";"0.000000";"0.000000";"0.000000"
