"Time";"createOrder";"basket";"getCatalogue";"getItem";"getCart";"login";"getOrders";"catalogue";"home";"tags";"getCustomer";"viewOrdersPage";"cataloguePage";"getRelated";"addToCart";"catalogueSize";"getAddress";"getCard";"showDetails"
0;"0.007346";"0.001734";"0.003792";"0.005192";"0.011602";"0.024378";"0.007591";"0.002164";"0.001828";"0.007505";"0.005202";"0.001674";"0.003791";"0.006600";"0.001363";"0.003362";"0.005099";"0.010951";"0.001552"
5;"0.009908";"0.001426";"0.003879";"0.007223";"0.007206";"0.011798";"0.007556";"0.001292";"0.001602";"0.004282";"0.005408";"0.001296";"0.003568";"0.004952";"0.002135";"0.003641";"0.003631";"0.003185";"0.001530"
10;"0.013085";"0.001389";"0.004188";"0.004339";"0.005993";"0.013219";"0.012031";"0.001961";"0.001794";"0.003169";"0.006285";"0.001530";"0.004357";"0.004658";"0.010830";"0.003970";"0.007092";"0.007888";"0.001647"
15;"0.007356";"0.001979";"0.004181";"0.005000";"0.007142";"0.012128";"0.009729";"0.001373";"0.001442";"0.004919";"0.004927";"0.001191";"0.003804";"0.004832";"0.010021";"0.009117";"0.003058";"0.008239";"0.001416"
20;"0.009595";"0.001634";"0.003865";"0.004849";"0.009196";"0.018270";"0.007352";"0.001497";"0.001457";"0.004514";"0.005011";"0.001352";"0.003694";"0.007682";"0.001276";"0.005225";"0.004023";"0.008115";"0.001708"
25;"0.007686";"0.001674";"0.003613";"0.005213";"0.014549";"0.015626";"0.006927";"0.001303";"0.001605";"0.005027";"0.005930";"0.001178";"0.003897";"0.006174";"0.002592";"0.004189";"0.008584";"0.006442";"0.001269"
30;"0.010641";"0.001243";"0.003534";"0.006173";"0.009424";"0.019124";"0.007156";"0.001302";"0.001403";"0.003061";"0.006372";"0.001395";"0.003331";"0.005630";"0.001264";"0.003770";"0.002941";"0.004063";"0.001695"
35;"0.007006";"0.001591";"0.004172";"0.004513";"0.012825";"0.018184";"0.007240";"0.001214";"0.001614";"0.006697";"0.005601";"0.001829";"0.003935";"0.004440";"0.001229";"0.006155";"0.007138";"0.003473";"0.001538"
40;"0.009541";"0.002449";"0.004264";"0.005112";"0.018778";"0.021095";"0.010290";"0.001628";"0.001606";"0.004826";"0.005701";"0.001535";"0.003393";"0.005877";"0.001213";"0.004033";"0.004028";"0.004004";"0.001632"
45;"0.011878";"0.001330";"0.004146";"0.004765";"0.007650";"0.013119";"0.012140";"0.001307";"0.001410";"0.011120";"0.004316";"0.001432";"0.003686";"0.004773";"0.001281";"0.003769";"0.004130";"0.003498";"0.001559"
