"Time";"createOrder";"basket";"getCatalogue";"getItem";"getCart";"login";"getOrders";"catalogue";"home";"tags";"getCustomer";"viewOrdersPage";"cataloguePage";"getRelated";"addToCart";"catalogueSize";"getAddress";"getCard";"showDetails"
0;"0.000000";"0.001587";"0.003833";"0.003973";"0.008356";"0.055832";"0.008276";"0.001930";"0.001212";"0.006857";"0.006022";"0.001188";"0.003811";"0.003332";"0.001701";"0.006877";"0.003636";"0.013181";"0.001306"
5;"0.007651";"0.001125";"0.003590";"0.003643";"0.007805";"0.011232";"0.008780";"0.001370";"0.001326";"0.002664";"0.004710";"0.001464";"0.003238";"0.007360";"0.001472";"0.003467";"0.003455";"0.003437";"0.001121"
10;"0.008280";"0.001802";"0.005194";"0.004493";"0.011386";"0.025509";"0.008502";"0.001516";"0.001589";"0.004378";"0.006638";"0.001537";"0.003929";"0.006502";"0.020839";"0.003566";"0.004085";"0.004665";"0.001649"
15;"0.008852";"0.001312";"0.004600";"0.003974";"0.005722";"0.011229";"0.008196";"0.001210";"0.001414";"0.003823";"0.003805";"0.001249";"0.005336";"0.003829";"0.001475";"0.003862";"0.003476";"0.003697";"0.001945"
20;"0.007949";"0.001214";"0.003827";"0.003674";"0.009976";"0.020477";"0.007756";"0.001582";"0.001354";"0.003022";"0.005361";"0.001380";"0.003720";"0.007664";"0.001496";"0.008939";"0.003502";"0.000000";"0.001706"
25;"0.007056";"0.001191";"0.004099";"0.003452";"0.009479";"0.019117";"0.007102";"0.001397";"0.001478";"0.008837";"0.003604";"0.001341";"0.003592";"0.003445";"0.001328";"0.004002";"0.003713";"0.003455";"0.001316"
30;"0.007671";"0.001296";"0.003948";"0.003890";"0.006225";"0.017635";"0.007678";"0.001189";"0.001194";"0.003064";"0.007484";"0.001389";"0.003423";"0.006994";"0.001315";"0.003377";"0.003995";"0.003370";"0.001581"
35;"0.007441";"0.001480";"0.003847";"0.008566";"0.005750";"0.016093";"0.007151";"0.001221";"0.001172";"0.002822";"0.007875";"0.001209";"0.003571";"0.003679";"0.000000";"0.003402";"0.003669";"0.004381";"0.001261"
40;"0.007089";"0.002734";"0.003485";"0.003370";"0.012128";"0.014760";"0.007948";"0.001561";"0.001184";"0.002998";"0.005040";"0.001164";"0.003538";"0.008606";"0.001569";"0.004347";"0.004885";"0.003056";"0.001652"
45;"0.006810";"0.001285";"0.004056";"0.004771";"0.005912";"0.027504";"0.008119";"0.001290";"0.001160";"0.007771";"0.003851";"0.001270";"0.003909";"0.007214";"0.001186";"0.003752";"0.003588";"0.003326";"0.001861"
50;"0.008659";"0.001212";"0.003778";"0.006881";"0.006446";"0.013543";"0.015252";"0.001201";"0.001377";"0.002654";"0.005252";"0.001304";"0.005580";"0.004345";"0.001410";"0.003648";"0.013480";"0.011023";"0.001342"
55;"0.007037";"0.001613";"0.003383";"0.003359";"0.006878";"0.020034";"0.008277";"0.001573";"0.001107";"0.002634";"0.006663";"0.001057";"0.004123";"0.005152";"0.001507";"0.003423";"0.003338";"0.003285";"0.001285"
60;"0.007502";"0.001375";"0.004317";"0.007073";"0.012298";"0.021498";"0.007363";"0.001402";"0.001396";"0.002782";"0.006200";"0.001421";"0.003527";"0.003632";"0.001642";"0.004124";"0.003823";"0.003257";"0.001286"
65;"0.007424";"0.001277";"0.003743";"0.004607";"0.008893";"0.020810";"0.013503";"0.001308";"0.001238";"0.002774";"0.007823";"0.001177";"0.003769";"0.007079";"0.001350";"0.003502";"0.004055";"0.003230";"0.001372"
70;"0.007721";"0.001724";"0.004054";"0.004592";"0.006264";"0.026806";"0.008293";"0.001245";"0.001198";"0.003501";"0.006395";"0.001225";"0.003428";"0.003399";"0.001528";"0.009628";"0.003694";"0.000000";"0.001241"
75;"0.006980";"0.001267";"0.004145";"0.005531";"0.007829";"0.020822";"0.007861";"0.001274";"0.001341";"0.007530";"0.005908";"0.001301";"0.003608";"0.003408";"0.001327";"0.003730";"0.003526";"0.003523";"0.001570"
80;"0.013845";"0.001348";"0.003467";"0.007136";"0.008004";"0.012238";"0.006849";"0.001219";"0.001315";"0.002809";"0.005948";"0.001251";"0.003765";"0.003674";"0.001277";"0.003660";"0.003604";"0.015306";"0.001195"
85;"0.025275";"0.001298";"0.003607";"0.003481";"0.013661";"0.019583";"0.014387";"0.001849";"0.001573";"0.015202";"0.006778";"0.001456";"0.003383";"0.003766";"0.001169";"0.004478";"0.004155";"0.003588";"0.001386"
90;"0.006972";"0.001489";"0.004140";"0.004725";"0.007314";"0.012523";"0.007103";"0.001626";"0.001277";"0.002932";"0.007666";"0.001291";"0.004421";"0.003915";"0.001568";"0.009099";"0.003983";"0.004810";"0.001328"
95;"0.006956";"0.001086";"0.003488";"0.003449";"0.005747";"0.019660";"0.013806";"0.001158";"0.001484";"0.002676";"0.005458";"0.001368";"0.004425";"0.003639";"0.001271";"0.003445";"0.002683";"0.007576";"0.001225"
100;"0.008386";"0.001241";"0.003889";"0.003772";"0.009291";"0.017749";"0.017037";"0.001141";"0.001303";"0.002982";"0.003660";"0.001157";"0.003987";"0.003494";"0.001214";"0.003716";"0.003475";"0.004196";"0.001144"
105;"0.007059";"0.001128";"0.003940";"0.004021";"0.007109";"0.017310";"0.008823";"0.001351";"0.001437";"0.003298";"0.004442";"0.001605";"0.004545";"0.003874";"0.001381";"0.004120";"0.003220";"0.003956";"0.001200"
110;"0.006320";"0.001215";"0.003831";"0.003322";"0.007658";"0.016233";"0.007800";"0.001637";"0.001449";"0.002822";"0.004947";"0.001287";"0.003804";"0.008164";"0.000000";"0.003716";"0.004129";"0.003467";"0.001139"
115;"0.007132";"0.000000";"0.003891";"0.006692";"0.008904";"0.016052";"0.007179";"0.001624";"0.001551";"0.002826";"0.004026";"0.001296";"0.003797";"0.003986";"0.001549";"0.003597";"0.003168";"0.003906";"0.001476"
120;"0.006823";"0.001473";"0.003615";"0.003782";"0.007465";"0.013502";"0.007122";"0.001649";"0.001254";"0.009306";"0.004838";"0.001527";"0.004040";"0.008067";"0.001364";"0.003373";"0.000000";"0.004691";"0.001693"
125;"0.000000";"0.001308";"0.003577";"0.003330";"0.009730";"0.036906";"0.044255";"0.001249";"0.001386";"0.002793";"0.004273";"0.001288";"0.003844";"0.003645";"0.002249";"0.003656";"0.004099";"0.009094";"0.001339"
130;"0.006584";"0.001687";"0.003928";"0.006046";"0.009729";"0.015706";"0.006898";"0.001284";"0.001250";"0.007783";"0.004686";"0.001228";"0.003470";"0.003324";"0.001257";"0.003389";"0.003356";"0.003200";"0.001673"
135;"0.007372";"0.001351";"0.003898";"0.007193";"0.006688";"0.017006";"0.013693";"0.001130";"0.001260";"0.002812";"0.004662";"0.001201";"0.003818";"0.003823";"0.001127";"0.003191";"0.004365";"0.011853";"0.001344"
140;"0.017547";"0.001395";"0.003702";"0.004751";"0.005321";"0.017556";"0.007693";"0.001281";"0.001504";"0.002878";"0.003594";"0.001480";"0.004168";"0.005131";"0.001467";"0.003518";"0.003291";"0.003850";"0.001418"
145;"0.006160";"0.001099";"0.003389";"0.003852";"0.008044";"0.015061";"0.006696";"0.001128";"0.001348";"0.009374";"0.004936";"0.001282";"0.003257";"0.006468";"0.001282";"0.003276";"0.013331";"0.003046";"0.001191"
150;"0.006770";"0.001372";"0.003419";"0.007276";"0.006855";"0.022001";"0.007653";"0.001205";"0.001228";"0.002780";"0.005135";"0.001298";"0.003696";"0.003416";"0.000000";"0.003608";"0.003536";"0.003438";"0.001196"
155;"0.007239";"0.001474";"0.004254";"0.003815";"0.008556";"0.018449";"0.006219";"0.001154";"0.001849";"0.002495";"0.003478";"0.001405";"0.003674";"0.003440";"0.010693";"0.003347";"0.003264";"0.039666";"0.002124"
160;"0.006076";"0.001343";"0.003591";"0.004560";"0.021426";"0.035161";"0.006758";"0.001028";"0.001286";"0.002454";"0.006677";"0.001136";"0.003633";"0.003593";"0.001246";"0.003425";"0.003155";"0.003063";"0.001173"
165;"0.007069";"0.001270";"0.004093";"0.003461";"0.010167";"0.016915";"0.015578";"0.001577";"0.001404";"0.003599";"0.005646";"0.001953";"0.004129";"0.003889";"0.001317";"0.003705";"0.008502";"0.004342";"0.001408"
170;"0.007157";"0.001254";"0.004005";"0.004405";"0.006930";"0.017665";"0.007339";"0.001163";"0.001390";"0.012782";"0.004099";"0.001487";"0.003618";"0.003396";"0.001739";"0.003476";"0.022413";"0.003945";"0.001590"
175;"0.006799";"0.001270";"0.003673";"0.006068";"0.005914";"0.010469";"0.011385";"0.001164";"0.001354";"0.009609";"0.006064";"0.001588";"0.003526";"0.003114";"0.001346";"0.003218";"0.002884";"0.000000";"0.001110"
180;"0.007945";"0.001096";"0.004075";"0.003626";"0.011334";"0.011606";"0.006550";"0.001314";"0.001261";"0.002868";"0.004571";"0.001283";"0.003315";"0.006582";"0.008815";"0.003417";"0.003334";"0.016012";"0.001573"
185;"0.006939";"0.001241";"0.003346";"0.008685";"0.006219";"0.012701";"0.009144";"0.002879";"0.001124";"0.002758";"0.006255";"0.003190";"0.003336";"0.009765";"0.001367";"0.004302";"0.004236";"0.003427";"0.001254"
190;"0.006715";"0.001704";"0.003378";"0.005808";"0.008496";"0.035660";"0.025312";"0.001442";"0.001070";"0.007169";"0.004995";"0.001101";"0.003512";"0.005366";"0.001320";"0.007700";"0.002791";"0.003205";"0.001413"
195;"0.010495";"0.001167";"0.004337";"0.004717";"0.006419";"0.011420";"0.013254";"0.001059";"0.001358";"0.002835";"0.003752";"0.001259";"0.003590";"0.007376";"0.001089";"0.003337";"0.003923";"0.003379";"0.001162"
200;"0.006168";"0.001395";"0.003505";"0.004899";"0.013109";"0.015150";"0.008804";"0.001134";"0.001308";"0.002685";"0.008280";"0.001411";"0.003352";"0.003714";"0.013251";"0.003712";"0.003246";"0.003370";"0.001070"
205;"0.006268";"0.001143";"0.003547";"0.003047";"0.009398";"0.017293";"0.006598";"0.001232";"0.001394";"0.002422";"0.004651";"0.001373";"0.003145";"0.002959";"0.001315";"0.007979";"0.003569";"0.003000";"0.001245"
210;"0.006444";"0.001363";"0.003928";"0.007191";"0.008091";"0.011525";"0.006330";"0.001229";"0.001343";"0.002493";"0.006752";"0.001169";"0.003743";"0.003262";"0.001239";"0.003776";"0.003441";"0.012835";"0.001149"
